im kurupted,G11111
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:05:44]
Arbuckleee,Hurry up before all of the gold is given away !!!
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:05:50]
Marbellizer,"Well hard to say for exact lvls, its just a bit  worse than obsidian and other "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:05:56]
Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!"
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:01]
Marbellizer,Dps usually but if you wanna see exact numers thers dps calculation 
Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:08]
Marbellizer,Spreadsheets
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:13]
Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:19]
Marbellizer,And existing metas for bosses
xLouis,                                                                                
3536672,Guys
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:25]
Arbuckleee,Hurry up before all of the gold is given away !!!
3536672,Is there anything i can do with a pet
xLouis,I'm really not in the know i guess haha
3536672,Or he just follows
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:36]
Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!"
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:42]
xLouis,"Do you use any spreadsheets? And if so, what one?"
Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:48]
xLouis,Would be nice to save for the future
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:06:54]
Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:00]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:05]
Marbellizer,Should be easy to find if you just type it into google
Arbuckleee,Hurry up before all of the gold is given away !!!
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:11]
Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!"
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:17]
xLouis,Kk thanks 
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:23]
xLouis,I'll have a look
Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:29]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:35]
xLouis,Ah also
Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!
xLouis,Just one more
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:41]
xLouis,Without dhcb if I'm doing vork
Arbuckleee,Hurry up before all of the gold is given away !!!
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:47]
Marbellizer,Ye
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:53]
Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!"
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [17:07:59]
xLouis,Is bpipe better than dcb w/ ruby/diamond?
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [17:08:05]
Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!
Marbellizer,Nah dhcb is superior
Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!
xLouis,But if I can't afford
Arbuckleee,Hurry up before all of the gold is given away !!!
Marbellizer,Well bp works just fine
Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!"
xLouis,Just addy darts?
Marbellizer,I ve done a lot of vork kills on my main b4 dhcb buff
Marbellizer,With just bp
ElyxrBlade,Get
xLouis,Ah right
Marbellizer,Yeah addy darts are fine
ElyxrBlade,4 yew logs
ElyxrBlade,Or mahogany logs
Marbellizer,With rune ur a lil faster
ElyxrBlade,Nice cape
thiefward,Marbellizer
thiefward,Trade me miss
Marbellizer,But the darts cost more than the time saved
xLouis,Very good to know
xLouis,Thanks for all the help mate
xLouis,Have a good one
LilSami420,Ty
thiefward,Promise u reads my newspaper for 500m more
Marbellizer,Get lost broke boy
thiefward,????
thiefward,I gives u
mosthazarded,500*82
Marbellizer,Scammers getting dumber by the second
thiefward,U wants or no
Tukya Jeepee,"Doubling 25m 1 trade, no scam items"
Tukya Jeepee,"Doubling 25m 1 trade, no scam items"
Noob King474,Can you just give me 25 mil?
Tukya Jeepee,"Doubling 25m 1 trade, no scam items"
Noob King474,I guess not.
Marbellizer,And he runs to the next person lmao
thiefward,Promise u reads my newspaper for 500m more?
Marbellizer,Road just report him
Tukya Jeepee,"Doubling 25m 1 trade, no scam items"
Arc Angel101,Scam
thiefward,Banks all and trade me
Arc Angel101,Hes trying to tkae item out
Tukya Jeepee,"Doubling 25m 1 trade, no scam items"
Roadhawgg,Lol nty
ElyxrBlade,And get 2 pendants
LilSami420,:D
Arc Angel101,Not sure why
Noob King474,Arc angel did you put your outfit on fashionscape?
Arc Angel101,Nope
Tukya Jeepee,"Doubling 25m 1 trade, no scam items"
ElyxrBlade,You got 2 pendants?
LilSami420,What kinda pendant
Arc Angel101,Should i?
ElyxrBlade,Digsite pendant you genius
Tukya Jeepee,"Doubling 25m 1 trade, no scam items"
Noob King474,Lmao alright saw something similar a while ago
LilSami420,Lol
ElyxrBlade,W A I T
Noob King474,It's dope
LilSami420,:3
Arc Angel101,Thx
ElyxrBlade,You didn't do bone voyage yet did you
Arc Angel101,Had it for a while
LilSami420,No
LilSami420,Lol
ElyxrBlade,Smh
ElyxrBlade,Aight
LilSami420,Xd
ElyxrBlade,Go do the quest then msg me
ElyxrBlade,*facepalm*
LilSami420,3 hahahah
ElyxrBlade,I gotta fly back
LilSami420,Okie :#
LilSami420,:3
ElyxrBlade,Lesgo cow m8
ElyxrBlade,Take me back
LilSami420,Haha
ElyxrBlade,Weeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee #
LilSami420,Ouch
Kids Dranqe,Yo fair
Kids Dranqe,Its not fair that u dont care about my hair.
ibrad16,How much is full ansestral?
Arc Angel101, Preach brother
ibrad16,Thats not bad
Kids Dranqe,Thats what im saying dude
Arc Angel101,This hair is fab
Noob King474,It's pretty dope
Kids Dranqe,I love u'
Noob King474,Lul
Noob King474,This went from old school to classic amirite
Noob King474,Kill me.
Fairmount,Who wants burned food
Arc Angel101,Hm u got?
Fairmount,Like 700 total
Arc Angel101,70k good?
Fairmount,Sure
Arc Angel101,Trade
Fairmount,Ok
thiefward,Sir
thiefward,Banks all u items
Fairmount,Nice :]
Arc Angel101,Wait 70k?
Arc Angel101,Woah how stoned am i
Arc Angel101,Ill do 20 ea
Fairmount,:[
Arc Angel101,Sorry lol
Fairmount,You tease
Arc Angel101,I wasnt thinking
Arc Angel101,I will buy tho
Fairmount,Add
Arc Angel101,But 14k
Fairmount,Ill have more sharks later
LucaVelletti,Marbellizer
LucaVelletti,U there?
Rushpearl680,In  Sr Swap !  
LucaVelletti,Marbelizer u there?
KuzenboMain,Can someone let me bum 200 gold
Marbellizer,Was semi afk
LucaVelletti,Will you launch the grandseedpod after the trade?
LucaVelletti,Prommis you wil
Marbellizer,Now u wasing my time trying to scam me
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
LucaVelletti,Bank all items and trade me 
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Roadhawgg,Scammers everywhere today
Marbellizer,Might as well have stayed afk
hookameat,60
ibrad16,What does that even do?
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Noob King474,Is barrows good money?
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Urple197,U buy that bow?
Marbellizer,Yes
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
LilSami420,0:D
Urple197,What did u grind for it
LilSami420,So cool
hedgehog327,:P
Turd Stomper,Lol it's the price of an old toyota irl
LilSami420,:3
hedgehog327,Got my cape yesterday
Marbellizer,Slayer thieving fm
hedgehog327,Real proud
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Marbellizer,To make my first 3b or so
LilSami420,Thats awesome :D
LilSami420,I got mine today haha
Marbellizer,Later on flipping and merching too
hedgehog327,Nice
Urple197,I'm too lazy lol
hedgehog327,Dragon slayer was a pain
Roadhawgg,Whats profitable to high alch atm?
LilSami420,I can imagine haha
Marbellizer,Redwood shields
LilSami420,One small favour is a pain
hedgehog327,Indeed
hedgehog327,Did you invest a lot into magic money wise?
hedgehog327,Or was it mostly even?
LilSami420,Nah i made money
hedgehog327,What did you do?
ibrad16,That reminds me i need to go kill some more drakes
LilSami420,Alched onyx bolts (e)
hedgehog327,I need to get my magic up a bit
hedgehog327,Ah
hedgehog327,Classic alching
LilSami420,Hahaha
LilSami420,Alched from lvl 56-99
Urple197,I need a make money
Turd Stomper,Want a free 15m?
Urple197,Of course
Turd Stomper,So do i
Marbellizer,Same
hedgehog327,My cash stack probably isn't big enough to buy a bunch of botls at once
Urple197,Exactly lol
LilSami420,Haha ya i had to buy like 5000 at a time then sell then buy more
Turd Stomper,Instead all i got was this pesky squirrel
hedgehog327,Sounds about right
Turd Stomper,Frick off nerd!
hedgehog327,You think lunar magicks could work?
hedgehog327,Like making planks or something?
hedgehog327,Or is more work than its worth?
LilSami420,Ya probably
hedgehog327,Cool
n y s,                                      Sup plebs
57 Fire 1542,—E—D swap cc!  
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ThyrtySeven,Jags
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
Jads Lungs,Jesus
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
Jads Lungs,Sick tbow
Marbellizer,Ty
Jads Lungs,Jelly mannnn
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Jads Lungs,I have rapier its dope
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
Jads Lungs,Omg
Jads Lungs,You arent fair
s7inns,Up for bandos?
Jads Lungs,And avernic
Jads Lungs,:(
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Jads Lungs,:( now youre just making me feel bad
s7inns,Mabrz you got a main?
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
Marbellizer,You are bad and you should feel bad
Marbellizer,Lmao
Jads Lungs,:(
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Jads Lungs,?
Marbellizer,W8 i realized i dont have any money on me lmao
Jads Lungs,Lol
s7inns,Mums credit card
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Marbellizer,Haha jelly nerds
Jads Lungs,Lets see that ish
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
Jads Lungs,Thx homie
s7inns,Its his christmas and birthday in 1
Marbellizer,Keep it up
Marbellizer,Haha s7inns so jelly
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Jads Lungs,Im gonna try to do some vork grind
Marbellizer,Maxed my first acc in 2016 broke boy
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Jads Lungs,Ahhhyyyy
s7inns,Wow you got pixels
Jads Lungs,Pullin that 99 str
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Jads Lungs,Got sythe?
Marbellizer,"I love how jelly u are, callin that moms credit card"
Jads Lungs,Scythe
Marbellizer,Just cause u suck
Marbellizer,Yeah
Jads Lungs,Omg
Marbellizer,Maybe a bit less
Jads Lungs,Lmao
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Jads Lungs,Add me bro
Urple197,She uses her own credit card jeez newbs
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Urple197,Lol
s7inns,Lol
Marbellizer,Lmao every1 jelly
Urple197,I kid
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ThyrtySeven,Qlq??
s7inns,Bro you got money in game
SOGxJAGS,Pest control?
