,user,message,spam
0,im kurupted,G11111,False
1,Arbuckleee,Hurry up before all of the gold is given away !!!,True
2,Marbellizer,"Well hard to say for exact lvls, its just a bit  worse than obsidian and other ",False
3,Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!",True
4,Marbellizer,Dps usually but if you wanna see exact numers thers dps calculation ,False
5,Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!,True
6,Marbellizer,Spreadsheets,False
7,Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!,True
8,Marbellizer,And existing metas for bosses,False
9,xLouis,                                                                                ,False
10,3536672,Guys,False
11,Arbuckleee,Hurry up before all of the gold is given away !!!,True
12,3536672,Is there anything i can do with a pet,False
13,xLouis,I'm really not in the know i guess haha,False
14,3536672,Or he just follows,False
15,Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!",True
16,xLouis,"Do you use any spreadsheets? And if so, what one?",False
17,Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!,True
18,xLouis,Would be nice to save for the future,False
19,Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!,True
20,Marbellizer,Should be easy to find if you just type it into google,False
21,Arbuckleee,Hurry up before all of the gold is given away !!!,True
22,Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!",True
23,xLouis,Kk thanks ,False
24,xLouis,I'll have a look,False
25,Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!,True
26,xLouis,Ah also,False
27,Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!,True
28,xLouis,Just one more,False
29,xLouis,Without dhcb if I'm doing vork,False
30,Arbuckleee,Hurry up before all of the gold is given away !!!,True
31,Marbellizer,Ye,False
32,Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!",True
33,xLouis,Is bpipe better than dcb w/ ruby/diamond?,False
34,Arbuckleee,Trade me after posting your nickname on the forum for 50m !!!,True
35,Marbellizer,Nah dhcb is superior,False
36,Arbuckleee,Search Munk23 on Faceb00k to participate in a massive 2.1B giveaway!,True
37,xLouis,But if I can't afford,False
38,Arbuckleee,Hurry up before all of the gold is given away !!!,True
39,Marbellizer,Well bp works just fine,False
40,Arbuckleee,"Massive 2.1b giveaway happening right now, search Munk23 on Faceb00k!",True
41,xLouis,Just addy darts?,False
42,Marbellizer,I ve done a lot of vork kills on my main b4 dhcb buff,False
43,Marbellizer,With just bp,False
44,ElyxrBlade,Get,False
45,xLouis,Ah right,False
46,Marbellizer,Yeah addy darts are fine,False
47,ElyxrBlade,4 yew logs,False
48,ElyxrBlade,Or mahogany logs,False
49,Marbellizer,With rune ur a lil faster,False
50,ElyxrBlade,Nice cape,False
51,thiefward,Marbellizer,False
52,thiefward,Trade me miss,False
53,Marbellizer,But the darts cost more than the time saved,False
54,xLouis,Very good to know,False
55,xLouis,Thanks for all the help mate,False
56,xLouis,Have a good one,False
57,LilSami420,Ty,False
58,thiefward,Promise u reads my newspaper for 500m more,False
59,Marbellizer,Get lost broke boy,False
60,thiefward,????,False
61,thiefward,I gives u,False
62,mosthazarded,500*82,False
63,Marbellizer,Scammers getting dumber by the second,False
64,thiefward,U wants or no,False
65,Tukya Jeepee,"Doubling 25m 1 trade, no scam items",False
66,Tukya Jeepee,"Doubling 25m 1 trade, no scam items",False
67,Noob King474,Can you just give me 25 mil?,False
68,Tukya Jeepee,"Doubling 25m 1 trade, no scam items",False
69,Noob King474,I guess not.,False
70,Marbellizer,And he runs to the next person lmao,False
71,thiefward,Promise u reads my newspaper for 500m more?,False
72,Marbellizer,Road just report him,False
73,Tukya Jeepee,"Doubling 25m 1 trade, no scam items",False
74,Arc Angel101,Scam,False
75,thiefward,Banks all and trade me,False
76,Arc Angel101,Hes trying to tkae item out,False
77,Tukya Jeepee,"Doubling 25m 1 trade, no scam items",False
78,Roadhawgg,Lol nty,False
79,ElyxrBlade,And get 2 pendants,False
80,LilSami420,:D,False
81,Arc Angel101,Not sure why,False
82,Noob King474,Arc angel did you put your outfit on fashionscape?,False
83,Arc Angel101,Nope,False
84,Tukya Jeepee,"Doubling 25m 1 trade, no scam items",False
85,ElyxrBlade,You got 2 pendants?,False
86,LilSami420,What kinda pendant,False
87,Arc Angel101,Should i?,False
88,ElyxrBlade,Digsite pendant you genius,False
89,Tukya Jeepee,"Doubling 25m 1 trade, no scam items",False
90,Noob King474,Lmao alright saw something similar a while ago,False
91,LilSami420,Lol,False
92,ElyxrBlade,W A I T,False
93,Noob King474,It's dope,False
94,LilSami420,:3,False
95,Arc Angel101,Thx,False
96,ElyxrBlade,You didn't do bone voyage yet did you,False
97,Arc Angel101,Had it for a while,False
98,LilSami420,No,False
99,LilSami420,Lol,False
100,ElyxrBlade,Smh,False
101,ElyxrBlade,Aight,False
102,LilSami420,Xd,False
103,ElyxrBlade,Go do the quest then msg me,False
104,ElyxrBlade,*facepalm*,False
105,LilSami420,3 hahahah,False
106,ElyxrBlade,I gotta fly back,False
107,LilSami420,Okie :#,False
108,LilSami420,:3,False
109,ElyxrBlade,Lesgo cow m8,False
110,ElyxrBlade,Take me back,False
111,LilSami420,Haha,False
112,ElyxrBlade,Weeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee #,False
113,LilSami420,Ouch,False
114,Kids Dranqe,Yo fair,False
115,Kids Dranqe,Its not fair that u dont care about my hair.,False
116,ibrad16,How much is full ansestral?,False
117,Arc Angel101, Preach brother,False
118,ibrad16,Thats not bad,False
119,Kids Dranqe,Thats what im saying dude,False
